ID,Label,Gloss
B43,adi,adi: i. ini; (kata penunjuk yang hanya dipakai berhubungan dengan orang); baoa adi: aku; laki-laki ini; boru adi: aku; wanita ini; halak adi: orang yang disana itu. ii. maradi: maradian: beristirahat; berhenti; adian: paradianan: tempat perhentian; tempat peristirahatan; adian ni hata: orang yang masih perlu didengar pendapatnya (karena tidak hadir dalam pembicaraan); sebelum suatu keputusan dapat diambil; si anu adian ni hata: si anu penyebab ditundanya pembicaraan; karena ia harus lebih dahulu datang; adian ni hata: artinya juga: pembicaraan yang belum berakhir dan masih perlu dituntaskan nanti
B44,adian,pemberhentian
B45,adil,adil
B46,ado,ado; madoado: mengembara; ber-kelana; simadoado: pengelana;pengembara
B47,adodang; adonang,entah siapa namanya
B48,adong,adong: ada; berada; tersedia; hadir; adong di ahu: ada padaku; soadadong: ndadong: tidak ada; paradongan: orang berada; kaya; boru ni tataring paradongan: perempuan yang kaya; adongna: seadanya; sinadongan: harta kekayaan; milik; juga sering dipakai sebagai pengantar untuk kalimat bertanya: adong do didok ibana? adakah; betulkah ia mengatakan?
B49,adong,ada
B50,adong do,adalah
B51,adop,adop: i. berhadapan (= dompak);di adopan ni: di muka; di hadapan; di adopanmu: di muka-mu; hadapanmu; tu adopan ni:kepada; ke hadapan orang; mar-adophon: terhadap; di muka;di hadapan; contoh nunga mardosaahu maradophon damang: sayasudah berdosa terhadap ayahku;adop bohi be: saling berhadapan muka; adopadop: berhadap-hadapan; adopan: potongan da-ging ternak yang diperuntukkan bagi raja seperti kepala; leher dan pinggul; selanjutnya: bea; cukai; upeti; pemberian; siadopan: suami; mang- adop di: bekerja pada se-seorang hingga lunas hutang; mangadopi: menghadiri; menghadapi; paadophon: menyerahkan anak untuk dijadikan pekerja orang; paadopadophon: menghadapkan muka ke; tomboman adopadop: ambang dalam rumah batak. ii. adop: payudara anak gadis; sedangkan untuk ibu-ibu disebut bagot
B52,adop,hadap; maradophon : menghadap
B53,ados,ados; siadosan: (and) = lae: atau eda.
B54,adu,adu: i. mangadu: menahan; menyusul; mengejar; menggembalakan ternak; mangadui: menggembalakan banyak ternak atau sering; ii. maraduadu: marsiadu: berlomba-lomba; parsiaduan: tempat perlombaan. iii. maradu: sampai; sehingga (= rasirasa); maradu mate: sampai mati; maradu loja: hingga capek; letih; maradu miduk: hingga berkumpul makin banyak
B55,adui,adui: sana; diseberang sana; menunjukkan jarak lebih jauh; di adui: di sadui: jauh di sana; tu adui: tu sadui: jauh kesana; topot adui: jumpai kesana (untuk mengerjakan sesuatu); basa adui: hari nanti (yang ditentukan untuk berbuat sesuatu); huta adui: kampung yang terletak disana.
B56,adum,adum: mangadum: memanjar uang kepada seseorang.
B57,ae,ae: mangae: merasakan; menderita; merasa sakit; diae pogosna: diderita kemiskinannya; marniae: berbaring sakit; parniaean: penderitaan sakit; perasaan sakit; mae: maesa: menderita; merintih kesakitan; marnaenae: menderita sakit. aek: i: maraek: basah; aek na niinum: kencing; air kemih; aek beu: air limfa; aek tabar: air tawar langsung datang dari sumbernya di hutan; aek anturge: air yang terkumpul di tunggul; martuaek: mengambil air; partuaek: gadis yang mengambil air; partuaehan: tempat pengambilan air; mandabuhon aek: mengalirkan air ke sawah; partutuaek: upacara adat membawa seorang bayi ke sumber air sebagai pendahuluan untuk pemberian nama; antian ni aek: hari ke delapan menurut penanggalan. ii. aek = atik; aek beha = atik beha.
B58,ae;mangae,menahan rasa sakit; suasana kehamilan
B59,aek,air; air terjun: sampuran; air mata: ilu; menetes air mata: manetek ilu; basah: maraek
B60,aek (air),mual; silumallan
B61,aek na sumar,air bah
B62,aga,aga: mangaga: mananduk (mengenai kerbau); paagaaga: melawan; memerangi (= paaloalo); mangagahon: menaruh kepercayaan; harap akan.
B63,agak,agak: agak; kira-kira; kurang lebih; mangagak: menaksir contoh umur atau padi; diagak deba: ditimbang dan terdapat terlalu ringan
B64,agal,agal: mangagalagal: melingkar; membelit; bergelung (mengenai ular); juga mengenai orang yang marah; juga orang-orang yang berjalan berlenggang-lenggok; yang mirip dengan ular yang bergelung.
B65,agam,agam; mangagam: memikir; menduga; menyangka; huagam: saya pikir; kusangka; diagam roha: dikira; disangka; bdk tagam.
B66,agama; ugamo,agama
B67,agan,agan; agan pe: sungguhpun; walaupun; meskipun; sekalipun; agan so = tagan so.
B68,aganan,aganan; (= tagonan); lebih ba-ik; lebih suka; aganan mate sian mangolu: lebih suka mati daripada hidup.
B69,agap,agap; mangagap: tertawa terbahak-bahak
B70,agar,agar: cantik; manis; bersih; necis; maragaragar: penampilan orang necis dan bersih.
B71,agaragar,agaragar: agaragar; gelatine
B72,agas,agas: agas; sej nyamuk berkaki panjang.
B73,agat,agat: pahat tajam yang dipakai menyadap enau untuk mendapat tuak; maragat; mangagati: me-nyadap enau untuk mendapat tu-ak; paragat: penyadap tuak; paragatan: papan; tempat penyadapan; di atasnya duduk penyadap tuak itu; agaton: yang harus disadap yaitu pohon enau.
B74,age,age; mangage: mencari segala macam cara untuk menyakiti dan melukai orang; manang beha paageage roham: entah bagaimana tipudayamu untuk menyakiti; melukai saya; diage rohana: dalam batin ia melawan; menentang
B75,agi,agi=anggi; siaginan: nama marga.
B76,agia,agia: sungguhpun; bahkan; apapun; pun; walaupun; biarpun; agia sada ndang adong: satu pun tidak ada; agia aha; agiaha: salah satu apapun; agia mangido pe ho; ndang olo ahu; juga bila engkau memintanya; saya tidak mau; ndang agia aha: apa saja pun tidak
B77,agiaha,agiaha=agia aha: lihat: agia
B78,agiat,agiat=anggiat: semoga; kiranya; mudah-mudahan. agin; siaginon: dunia ini; bumi ini (and).
B79,ago,ago; mago: menghilang; hilang; berakhir; agoan: kehilangan; agoan raut ibana: dia kehilangan pisau; agoan uhum: keji; kehilangan hukum; agoan hosa: meninggal; mati; putus nyawa; agoago: kehilangan; mangago: merusakkan; mencelakakan; menghancurkan; sipangago: si perusak; si pembinasa; penipu; hinamago: kemalangan; kecelakaan; kesengsaraan; hahamago: kehancuran; marhinamago: menderita kesengsaraan; bahaya; parroha mago: busuk hati; tidak bisa lagi diperbaiki; na magomago: orang melarat; orang miskin; mangago ariari (tingki); membuang-buang waktu; marmagoan: binasa dalam jumlah besar; sibaen na mago: penyebab kemalangan; kerusakan atau kesengsaraan.
B80,ago tutu; lupa,waduh; lupa
B81,ago-ago,hebat; jago
B82,ago-ago do ho; ba,hebat kau bah
B83,agoi amang,waduh; lupa
B84,agong,agong: arang kayu; simaragongagong: tanaman merambat.
B85,agoni,agoni: tenggara; lihat: anggoni.
B86,agos,agos: orang sial; pembawa sial; orang yang selalu membawakesulitan untuk orang yang berhubungan dengannya; pada siapa rupanya terkena kutukan.
B87,aha,aha: kata bertanya: apa? yang mana? manang aha: apa pun? sering dihubungi dengan kata pe; manang aha pe? apa pun; si aha? siapa? menanyakan nama orang; aha bahenon? apa bisa diperbuat? aha so: apa tidak; tidak perlu heran bahwa; contoh aha so mabiar ahu? apa tak takut aku? aha i? apa itu ? banyak dipakai bila seorang tidak mengingat nama sesuatu; contoh lehon ma aha i: berikanlah apa itu? dalam mana orang yang disapa itu mengetahui apa yang dimaksud; demikian juga: ahanghu: apaku; yang ada padaku; = ugasanku; aham: apamu; yang ada padamu; dsb; parahaan: perpanjangan dari aha; sebenarnya sesuatu yang ada di dalamnya; tetapi juga untuk hal yang dimaksud itu sendiri; maraha: mempunyai sesuatu; yang diketahui oleh orang lain apa yang dimaksud; aha rohana: dia merasa lain; dia tidak setuju dengan itu; umaha (= numeang); sudah sembuh; dikatakan mengenai penyakit; sebutan numeang tidak boleh dipakai supaya roh jahat yang menyebabkan penyakit itu jangan datang kembali.
B88,aha do alana ulaning,apa gerangan sebabnya
B89,aha singkatna ?,apa gantinya ?
B90,aham,punya kamu
B91,ahana,Alat vital
B92,ahap,ahap; i. mangahap: merasa; merasai; mengalami (badaniah); parniahapon: perasaan; citarasa; peri kehidupan; beha diahap ho? bagaimana perasaanmu ? siahapon: nasib; tanggungan; penderitaan; untung malang. ii. hau ahap: sej pohon; yang buahnya sangat disenangi anak-anak; juga: haiahap.
B93,ahasa,ahasa: dunia ini; = hasiangan on.
B94,ahit,ahit=nahit; paahitahithon bada: menggalakkan perselisihan.
B95,ahobar,ahobar: allah adalah besar pada permulaan tabas di waktu membuat obat-obatan.
B96,ahon,ahon; i. mangahon: membawa; mendatangkan; mengantarkan.ii. manahonahoni: membawa makanan ke kuburan orang mati sebagai makanan untuk begunya.
B97,ahu,ahu: orang pertama tunggal: aku; saya; juga: au; manga(h)uhon: menginginkan untuk dirisendiri; pembukaan surat batak mulai dari ahu; ahu surat tinongos ni si a: aku; surat kiriman si a; ahu on: aku ini; aku yang ada disini; pardiahuan: mereka yang termasuk bilangan seseorang yaitu kaum kerabat atau bawahan.
B98,ahu; au,aku; saya
B99,ahut,ahut; i. mangahuti: mengambil; menarik untuk diri sendiri (mengenai barang-barang kecil); roha pangahution: sikap me-mikirkan diri sendiri; egois-me; na ahut: egoistis; loba.ii. mangahut na nirabi: untuk kedua kalinya membakar hutan yang sudah ditebang untuk membersihkan tanah dengan sebaik mungkin; marnipi di ahuton: bermimpi sesudah pekerjaan membakar sudah selesai yaitu terlambat datang.
B100,ai,ai: i. kata perangkai: oleh sebab; karena. ii. pembuka kalimat tanya: ai aha do na masa? sebenarnya apa yang terjadi?
B101,aik,aik=atik; aik beha=atik beha: dsb.
B102,ail,ail; mailail: tagihan piutang yang tak terbayar.
B103,aili,aili: celeng; babi hutan.
B104,ain,ain; mangain: mengangkat seseorang menjadi anak sendiri contoh oleh keluarga yang tidak punya anak; anak niain: anak angkat; mangain dongan: mencari kawan sekutu di waktu perang.
B105,aing,aing; i.= aning ii: bukan? tak benarkah? baikkah? ya kan ? ii. marsiaing: memegang sesua-tu sambil bergantung.
B106,air,air; air ni bulu: ujung tunas bambu; panjang dan lengkung di bagian atas.
B107,ais,ais: i. maisais: bergoyang; goyah. ii. puting susu babi; p.b: ais ma di babi; mundala ma di horbo; tarpasiat ma ariari; molo adong lagu jumolo; 'ais' puting susu babi; 'mundala' puting susu kerbau; oleh karena saya telah membuat baik terhadapmu dulu; adalah lebih parah lagi bila engkau harus kukutuk.
B108,ait,ait; mangaithon: menarik sesuatu pada dirinya; mengambil sesuatu untuk dirinya; diaithon hata i tu ibana: disesuaikan kata itu kepada dirinya sendiri; dihubungkannya kata itu kepada dirinya sendiri.
B109,ait; hait,kait
B110,ajak,ajak; ajakajak lubuk: tindakan tanpa pemikiran yang matang. dikatakan tentang seorang yang terlampau cepat bertindak contoh cepat menyerang musuh; tetapi cepat pula lari.
B111,ajal,ajal: ajal; akhir hidup; ro ajalna: sudah tiba ajalnya.
B112,ajar,ajar=poda; mangajari: mengajar; mangajarhon: mengajarkan; marsiajar: belajar; di-parsiajari: dipelajari; parsiajaran: pelajaran; sesuatu yang diperlukan untuk belajar; contoh buku parsiajaran: buku pe-lajaran; parsiajaran: suatu yang dapat dipelajari; hurang ajar: kurang ajar; hona ajar: diajar; pangajarion: pengajaran; cara mengajarkan; pangajari: pengajar; guru. aji: racun; ramuan obat yang diberikan kepada musuh secara tersembunyi; mandabu aji: mengenakan racun kepada seseorang; manulak aji: mencoba menangkal dan membalas guna-guna kepada pihak lain; ajiajian: sihir; jampi-jampi; ramu-ramuan; aji donda=tunggal pana-luan; siaji teas; penangkalsantet yang diselipkan pada ikat pinggang; aji turtur lihat:turtur i; pangajian: keahlian; kepandaian; olat ni i pangajianmu: sampai disitulah kepandaianmu atau ilmumu; yaitu disini berakhirlah sudah pengetahuanmu.
B113,ajihihir,ajihihir; ajihihiron: menderita suatu penyakit sampai gigi rapuh (aji ni na marhihir) lihat: hihir.
B114,ajiringan,ajiringan: sej tikus yang kecil.
B115,ajo,ajo; majoajo: (mengenai air) dalam; lintong majoajo: kolam yang dalam .
B116,ajuk,ajuk; mangajuk: menipu; berbohong.
B117,ajul,ajul; mangajulhon: menaruh ke-percayaan pada......
B118,ak,ak; kelangkang (anggota ba-dan); ak ni dolok: punggung gunung; siganjang ak: suatu sebutan untuk ular (untuk menghindari memakai kata biasa ulok).
B119,akhiran...hu,terlalu; aku; ku
B120,ala,ala; i. alasan; sebab; dia alana: apa sebabnya? kenapa? dia alana umbahen: apa sebabnya maka; apa sebabnya hingga; kenapa? mengapa? ala ni: lantaran; sebab; karena; ala ni aha: kenapa; karena apa ? ala ni ni: karena itu; sebab itu; ndang adong alana; soada alana: tanpa sebab; on do alana umbaen: inilah sebabnya maka (hingga); marala: beralasan; bersebab; manungkun ala: menanyakan sebabnya atau alasan; ala: sebab; karena; siala = ala; sialabane: tanda jual tanah secara menetap; berupa uang yang diberikan kepada penghulu; lurah; atau kepala kampung oleh sipenjual. ii. mangalai; mangalaalai: menghalau. iii. mangala dengke: menangkap ikan dengan jalan mengalirkan airnya; tali ala: tali pada mana seberkas rumput dan dahan-dahan diikat dan kemudian dipasang di atas air untuk menghalaukan ikan; ala-an: cara menangkap ikan seperti itu; p.b.: laos marulu do alaan: menangkap ikan perlu seorang pemimpin; tiap pekerjaan memerlukan pimpinan; siala: tanda 'o' pada tulisan batak. iv. siala gundi: nama pohon yang besar yang kayunya dipakai untuk bangunan.
B121,ala ni sitik saotik,gara-gara sedikit saja
B122,alai,alai: tetapi; akan tetapi; na-mun; namun demikian.
B123,alal,alal; malal: lemas tidak bertenaga karena lapar; sialal: sej amporik: burung sawah.
B124,alaman,alaman: halaman rumah; pekarangan jalan kampung; alaman na marampang na marjual: sebutan yang lebih terhormat untuk alaman.
B125,alamat,alamat: yang memberitahu; yang mengabarkan; yang menyampaikan; alamat ni surat: alamat surat; alamat ni roha: pancaindera (yang memberitahukan sesuatu kepada roha); maralamat: meramalkan dengan memakai sihir; paralamat: ahli meramal; peramal baik tidaknya hari-hari; paranormal; alamat pandang torus: paranormal; sanggup melihat:at alam gaib; bisa meramal sesuatu; orang yang waskita.
B126,alana,karena
B127,alang,alang: tidak sampai; tanggung; kurang sedikit; tidak cukup; alang garar: tanggung untuk pembayarnya; alang ulaon: pekerjaan belum selesai; alang bogashu: gantung pekerjaanku; yang sedang saya kerjakan belum selesai; alang dua; lobi sada: untuk dua buah tidak cukup; untuk satu buah terlalu banyak; sialangalang: tidak cukup untuk dijadikannya tetapi terlalu besar untuk dijadikan satu contoh pekerjaan kayu; horbo sialangalang: kerbau yang tanggung untuk dipotong tetapi terlalu kecil untuk bekerja; alang roha: khawatir; ragu-ragu; tidak mempunyai keberanian untuk sesuatu; segan; tidak tega.
B128,alang roha mandok,rasanya segan mengatakan
B129,alap,alap i; mangalap: mengambil; menjemput; mangalapi: memanggil; menjemput; mangalap ari (= mangadap ari); mengundang teman-teman untuk bekerja yang kemudian untuk itu harus dibantu pula; sebenarnya: meminjam harinya; tenaganya; aron; silihat: berganti mengerjakan sawah secara bergotong royong; sialap manaruhon: tukang adu; pengadu; penggunjing;pangalap boru: pihak atau marga pengambil mempelai perempuan (sesuai dengan hukum adat); pangalapan gogo: tempat atau daya upaya mengambil kekuatan; holong mangalap holong: cinta kasih menimbulkan; menerbitkan cinta kasih pula; masialapan roha ma hamu: saling menahan dirilah kamu; pakailah akal budi masing-masing (dikatakan kepada orang yang berkelahi). ii. alap pamereng: menjuling karena kedengkian. iii. malapalap: berunggun; mau mati mengenai api.
B130,alap jual,pengantin putri dijemput
B131,alas,alas:na boru alas: dewa yang padanya dipanjatkan doa.
B132,alat, mangalat: melihat:at ke- sekelilingnya; mengamati; memata-matai; memperhatikan; a-lat matana: matanya sigap contoh dikatakan tentang anjing yang mengharapkan mendapat sesuatu; mangalathon; mangalatalati: mengamat-amati; memperhatikan seseorang; mengawasi; alat ro-hana: waswas; waspada; takut barangnya diambil orang; alatan: pertanda; wahyu; maralatan: melihat:at dalam khayalan; mendapat wahyu; paralatan: o-rang yang pandai tenung; pera-mal; alaman paralatan: halamanatau tempat dimana diadakan horja.
B133,albak,lempeng bersegi empat yang dipakai untuk membangun tembok tanah; tanah bata.
B134,albang, mangalbang: memukul; lihat: talbang.
B135,albas,tersentuh; tersenggol sesuatu contoh kain; mangalbas: menyenggol sesuatu; bergerak ke suatu tempat.
B136,albing,malbingalbing: tergantung-gantung.
B137,albuk,sialbukalbuhi: lambung yang lunak pada tubuh manusia atau binatang. ale: hai; sebuah interjeksi yang selain berdiri sendiri juga di muka vocativus; ale dongan: hai kawan-kawan; ale amang: ah bapa; hai ayah; ale:(juga seruan keheranan) oo; ha!
B138,ale,halo teman-teman
B139,aleale,kawan; teman karib; sahabat; maraleale: bersahabat; maralealehon: mempunyai seorang sebagai sahabat; ale-ale ni daging: dalam arti sem-bunyi; penyakit yang ringan dan tidak berarti.
B140,ale-ale,sahabat karib
B141,alemu,ilmu; pengetahuan yang mengerti ilmu sihir dan berbagai-bagai hal gaib contoh tidak dapat dilukai; untuk menjadi kebal;maralemu: melakukan pengetahuan seperti itu; marguru alemu: mempelajari pengetahuan seperti itu.
B142,alep; maralep,permainan petak umpet
B143,algip,algip; malgipalgip: mendahak mengenai orang yang menunggu ajalnya; mangalgip: menelan sesuatu.
B144,algip; mangalgip,napas satu dua; mau mati rasanya.
B145,alguk; algup,dimakan lahap
B146,algup,algup; mangalgup: menelan bulat-bulat; lihat: algip.
B147,alhe,alhe; malhe: kempis mengenai perut.
B148,alhot,getah pohon kayu; yang menjadi bahan pengental susu; malhot: kental; mengental (susu; minyak makan dan cairan lain); mangalhoti: mengentalkan; na nialhotan: yang dikentalkan; susu kental; yang lebih digemari daripada susu manis.
B149,ali,ali; i. = singkat: ganti; tukar; ali ni: pengganti dari; balasan dari; (=singkat ni); mangalii: mengganti; mangalihon: membalas sesuatu. ii.ali: petaka; kesusahan; nasib buruk; kesengsaraan; maliali: merasa sangat menderita; karena nasib buruk temannya; maliali di handang: sangat miskin; hidup melarat.
B150,aliang,aliang: lingkaran leher babi yang dipotong.
B151,aliang-aliang,bagian leher disamakan dengan Pohu (pada hewan adat kerbau dan sapi)
B152,aligi,periksa keadaan sawah
B153,aliklo,aliklo: manusia harimau.
B154,alim,sej pohon yang kulitnya dibuat buku kuno batak yang disebut 'pustaha'.
B155,alimos,sekilas; hanya sekejap saja kelihat:atan; maralimos: menghilang cepat-cepat; melintas sekejap.
B156,alimot,alimot; ndang huboto alimot ni i: hal itu sama sekali tidak saya mengetahui; ndang huida alimot ni i: aku tak melihat:at suatupun.
B157,alimpotpot,kunang-kunang
B158,aling,sindiran; tuduhan terselubung; insinuasi; mangalingi: menyindir seseorang; melancarkan tuduhan keji terhadap seseorang.
B159,alis,alis i. mangalis: mengikis dengan pisau; pangalis: pisau pengikis. ii. sepotong kayu yang runcing; yang diunjamkan dalam tanah untuk melindungi diri terhadap musuh atau pencuri; jojoran na nialis: kawat berduri.
B160,alit,dililitkan; lingkar; mangalit: berputar; melingkar; melilit; mangalithon: melilitkan; mengenakan contoh kain; sa- rung; baju; taralit: keseleo;terkilir; taralit pat: kakinya terbelit; juga: terikat; sehingga tidak bisa berge- rak lagi; pangalit ni hata: pembelitan kata; sindiran; pangalit = dila: lidah hewan; alit hatam: berbelit kata-katamu; alit dalan: jalan yang memutar; tidak lurus.
B161,aljuk,aljuk; mangaljuk: melompat ke atas (mengenai ikan).
B162,allam,bersifat merendahkan; cacian; penghinaan; pelecehan; allammu do i: itu merupakan penghinaan pada saya; allamna: penghinaannya; dengkinya.
B163,allang,allang; mangallang: makan; memakan (dikatakan tentang orang dan binatang); siallangon: yang bisa dimakan; mangallang gana: menelan sumpah; mengganggap enteng yaitu bersumpah palsu; siallang gana: orang yang bersumpah palsu; masiallangan: saling memakan; bertengkar; menipu; api na ma-ngallang: api yang menghabiskannya.
B164,allangma,makanlah
B165,allo,allo; mangalloalloi: ikut- ikutan; contoh ikut menyanyi padahal belum dapat melakukannya dengan baik.
B166,allom,allom; mangallom = manumpol.
B167,alluk,alluk; mallukalluk: bergerak kian kemari; mengerakkan badan naik turun; mengenai kuda yang membuat penunggangnya sakit; juga: mengenai barang yang dipikul; marhahalluk: terkial-kial tertawa.
B168,allung,lihat: hallung.
B169,almanak,kalender liturgi
B170,almis,almis; mangalmis: memotong se-dikit; memotong beberapa saya-tan.
B171,alnge,alnge; mangalnge: mengunyah dengan lambat.
B172,alngit,sejenis pohon hutan; yang kulitnya berbau keras dan busuk.
B173,alo,alo: lawan; musuh (lawan: dongan:) mangalo: melawan; menentang; memerangi; bermusuhan; pangalo: lawan; musuh; maralo: berlawanan; bermusuhan; bertentangan; maralohon: melawan; berlawanan dengan; juga: sebagai kata depan: bertentangan dengan; paraloan: perlawanan; pertempuran; pangalo: senjata pertempuran; pangaloan: tempat perlawanan; nama daerah; masialoan: saling berlawanan; aloalo: saingan; yang kekuatannya seimbang; aloangin: sokong; siku penunjang pada tiang dan balok yang menahan angin atau goncangan; mangaloalo=manomunomu (tomu) (angk).
B174,alo-alo,bunga yang ujungnya berduri; di sekitar kuburan
B175,aloban,sejenis pohon kayu yang kayunya dipakai untuk bahan bangunan rumah.
B176,alogo,angin; hona alogo: terjebak; tersergap angin; paralogoan: tempat banyak angin; alogo laut: angin laut; alogo dolok: angin gunung; alogo musim: angin musim; dari alogo: ular dari yang cepat melompat bila terancam.
B177,aloi,aloi=oloi: kata seru mengakhiri sebuah doa mantera masa dulu; berkenankanlah! dan hanya berhubungan dengan: aloi ompung: berkenankanlah kami hai nenek (bdk "amen" pada o-rang kristen).
B178,along,along; alongalong: sejenis ende (di angk).
B179,alop,alop:mangalopalopi: memohon dengan hormat contoh kepada raja atau begu.
B180,alos,alos; mangalosi: melayukan; dijadikan layu; malos: layu; mengenai tumbuh-tumbuhan.
B181,alpas,alpas=albas: disenggol; disentuh; bergerak kesini kesana.
B182,alpis,perutnya kempis contoh dari tubuh wanita yang tidak hamil lagi.
B183,alpo,kecewa tah kebagian
B184,alsip,isap
B185,altong,sejenis laba-laba yang bersarang di bawah tanah. ii. maraltong: mulai masak mengenai buah-buahan.
B186,altup; alguk,makan cepat; sekejap
B187,alu,alu:mangalualu: mengadu; mengadukan sesuatu; menyampaikan keluhan; menggugat; mangaluhon: mengadukan (tu) kepada seseorang; alualu: pengaduan; pangalualuan: tempat atau orang untuk mengadu; pengayom; penasehat yang bijak; penolong; tempat minta perlindungan; marpangalualuan tu: mengadukan pengaduan kepada; pangalualuan so sungkunon: seorang pengadu yang suka menyampaikan sesuatu; tidak usah ditanya-tanya.
B188,alu,adu; aluhon: adukan; dialuhon: diadukan; mangalualu: mengadu nasib
B189,aluk,aluk; i. mangaluhi: menyodorkan sesuatu; tetapi tidak jadi diberikan. ii. aluhon: menderita kekurangan karena tidak mau bekerja.
B190,alum,alum; i. alum ni ate: kesenangan; merasa puas. ii. alumalum: sejenis rumput untuk makanan ternak; juga dipakai melawan gatal-gatal pada kulit (kudis). alun: ombak (kecil).
